comment;calificacion
"Porque permite aplicar los conocimientos ensenados sobre programacion de forma similar a la que se haria en un computador por medio de python.";"De acuerdo"
"Porque era una herramienta de facil uso y permitia corregir algunos errores mientras se iba programando";"De acuerdo"
"Es una muy buena herramienta con grandes capacidades de interaccion entre los estudiantes, sin embargo la pagina en algunos casos colapsaba y en casos de necesidad retrasaba la realizacion de trabajos.";"De acuerdo"
"Es una herramienta dinamica para el aprendizaje que permite una pronta retroalimentacion y facilita la visualizacion de los ejercicios";"Totalmente de acuerdo"
"porque le mostraba a uno los casos y el error que uno cometio, ademas de que el python tutor le hacia a uno la prueba de escritorio ahorrando tiempo en la deteccion del problema";"Totalmente de acuerdo"
"la retroalimentacion que da cuando hay algo incorrecto, resulta muy util al momento de corregir el codigo, aunque a veces (como en el caso del taller 10) no era tan obvia la comparacion entre lo que esta bien, y lo que estaba mal";"De acuerdo"
"Retarse a uno mismo con problemas a este nivel de deducacion que se tenian que platear";"De acuerdo"
"Los ejercicios sirven mucho para aplicar los temas que el profesor nos ensenaba, sin embargo creo que mi desempeno bajaba ya que estaba bajo presion pero entiendo completamente que si haga evaluando ya que es una manera de motivar, es algo mas para mejorar de mi parte";"De acuerdo"
"me dejaba identificar donde tenia un error en el programa,y el paso a paso de este, Deberian implementar que siempre se vea el tiempo que dura el programa en cada submission.";"De acuerdo"
"Es una interesante modalidad para la realizacion de las actividades y tareas, de las cuales son comprobadas por varios casos de prueba para identificar si el programa cumple con los requisitos.";"Totalmente de acuerdo"
"Porque con su sistema, se podian evaluar los codigos en gran cantidad de casos y comprobar su efectividad. De igual forma, nos daba retroalimentacion para hacer las correcciones necesarias";"De acuerdo"
"Es una plataforma facil de usar y muy fluida, ademas que la implementacion de Python tutor es de gran ayuda para entender como funciona el lenguaje y para comprender mejor el flujo de codigo y los problemas";"Totalmente de acuerdo"
"Es una herramienta muy util en cuanto a que muestra el error que el programa cometia y especifica que tipo de error se esta cometiendo, la herramienta es muy visual, facilitando la comprension del problema y al dar las calificaciones inmediatamente, da una retroalimentacion mas efectiva.";"De acuerdo"
"Por que gracias a los ejercicios puestos en la plataforma pude desarrollar un pensamiento logico y resolver problemas de acuerdo a los temas tratados en clase.";"De acuerdo"
"Porque creo que el hecho de que califique automaticamente y devuelva los errores en las salidas hace que resolver los problemas sea mas rapido y facil.";"Totalmente de acuerdo"
"Lo que mas me gusto de UNCode fue la facilidad de uso y su practicidad. Durante todo el semestre, lo use no solo para los talleres y quizes, sino tambien para probar y ejecutar codigos para otros usos. La plataforma de UNCode es muy limpia y clara.";"Totalmente de acuerdo"
"porque su interfaz permite ver como funciona nuestro codigo y como podemos mejorarlo";"Totalmente de acuerdo"
"Fue util porque al poder obtener una retroalimentacion inmediata del funcionamiento del codigo con base en los resultados obtenidos y los esperados permite corregir errores de manera progresiva y sobre la marcha para avanzar hacia la solucion correcta.";"Totalmente de acuerdo"
"Proporciono un espacio para practicar codigo al ritmo de los estudiantes y una forma practica de hacer tarea.";"Totalmente de acuerdo"
"La explicacion de los enunciados, las entradas y las salidas esperadas, me ayudo mucho a lo largo del semestre para entender los distintos ejercicios, tanto a nivel de lengua materna como a nivel de la logica de programacion";"Totalmente de acuerdo"
"Los casos de prueba ayudaron bastante";"De acuerdo"
"Tuve varios problemas con errores donde no entendia que estaba mal, y donde no recibia una explicacion.";"Algo de acuerdo"
"Provee un entorno amplio de retroalimentacion y entendimiento del tema";"Totalmente de acuerdo"
"Porque es una herramienta muy completa, tanto para calificar como para hacer y revisar codigo, lo unico malo que tiene son sus servidores, si hay bastantes personas trabajando a la vez se cae.";"Totalmente de acuerdo"
"Las limitaciones de espacio y memoria de uncode planteaban un reto";"De acuerdo"
"UNCode permite realizar los talleres y evaluaciones de manera rapida y efectiva, lo que permitio una forma efectiva de aprender.";"De acuerdo"
"facilita la solucion de problemas con su modulo de test code y python tutor";"Totalmente de acuerdo"
"Es una gran herramienta que permite ver paso a paso el programa en ejecucion, ademas de dar sugerencias para mejorar las buenas practicas de programacion.";"Totalmente de acuerdo"
"Me permitio ver la realizacion del codigo paso por paso, ademas de probar la eficiencia en diferentes casos de prueba.";"Totalmente de acuerdo"
"Es bastante intuitivo para su uso y hace sencilla la programacion";"Totalmente de acuerdo"
"El hecho de probar y visualizar el codigo en la plataforma permite una reflexion muy efectiva acerca de los errores que en algun momento cada persona pueda tener y aprender de ellos. Tambien los casos de prueba permiten tomar en cuenta cada situacion a la que se pueda exponer el codigo con el fin de que cumpla su funcion totalemente.";"Totalmente de acuerdo"
"UNCode es una herramienta muy util debido a que permite ver como se esta ejecutando el codigo y eso es bastante util a la hora de saber cuantos pasos toma el codigo y el orden de su ejecucion.";"De acuerdo"
"Permitia evidenciar el avance en el problema. Adicionalmente, permitia ver el paso a paso del progrma y se mostraban los ejercicios de manera organizada.";"Totalmente de acuerdo"
"Alli fue donde realizamos todas las actividades que nos permitian afianzar conocimientos.";"Totalmente de acuerdo"
"Mas alla de que es una plataforma para presentar tareas, depende mucho del conocimiento";"Algo de acuerdo"
"Por que facilita al estudiante tener un lugar de trabajo academico especial, ademas las herramientas de compilado e integracion de pythontutor permiten al estudiante entender su codigo y ver como se desarrollan variables,funciones,etc.";"Totalmente de acuerdo"
"La facilidad para programas, las ayudas del editor y la verificacion de las respuestas";"Totalmente de acuerdo"
"Pytutor integrado, casos de prueba y consejos en la parte de la izquierda, vaya belleza de consola.";"Totalmente de acuerdo"
"Es una plataforma muy util que cuenta con varias herramientas que ayudan a entender el paso a paso que esta ejecutando nuestro programa";"Totalmente de acuerdo"
"Los ejercicios planteados me ayudaron a desarrollar habilidades e ir mas alla de la teoria";"Totalmente de acuerdo"
"El test code es una herramienta muy util del UNCode, y permite visualizar la ejecucion de manera efectiva";"De acuerdo"
"UNCode fue muy util para aprender a programar computadores porque los ejercicios que alli se tienen sirven para practicar y afianzar los conocimientos que se imparten en la clase, asi mismo tener varios casos de prueba nos ayuda a pensar el algoritmo de una manera funcional y optimizada.";"Totalmente de acuerdo"
"Uncode es una herramienta muy completa que motiva a los estudiantes a seguir programando incluso cuando se tienen bastantes falencias sobre un tema en especifico.";"Totalmente de acuerdo"
"La opcion en la que uno puede ver que esta haciendo su codigo linea por linea es muy buena, ayuda demasiado.";"Totalmente de acuerdo"
"La plataforma tiene buenas herramientas como Python Tutor y poder ver los casos de prueba.";"De acuerdo"
"por que es una plataforma que permite usar python sin necesidad de descargarlo, facil de usar, y al permitir guardar todo en el drive es muy conveniente";"Totalmente de acuerdo"
"En esta plataforma habian ejercicios que hacian que pusiera en practica los conocimientos aprendidos en clase";"Totalmente de acuerdo"
"Permite probar el codigo y hacerle un seguimiento de manera sencilla para la deteccion de errores.";"De acuerdo"
"Debido a que se nos proponian bastantes situaciones, tenia la opcion de ir probando el codigo ademas de poder acceder a una vista mas detallada de lo que hace el codigo, con el plus de que con los casos de prueba podiamos saber si nuestro codigo cumplia con cabalidad su funcionalidad";"Totalmente de acuerdo"
"En primer lugar, la plataforma permite testear el codigo antes de ser enviado para su evaluacion, lo que permite corregir los fallos. Esto sumado a la integracion de Python Tutor le brindan al estudiante herramientas suficientes para que comprenda el funcionamiento integro de su codigo, es decir, le permite al estudiante comprender que hace (o porque esta fallando), por lo que aprender a programar se facilita de sobremanera con respecto a otras plataformas.En segundo lugar, la plataforma califica con respecto al porcentaje de acierto respecto a los casos de prueba, por lo que si el estudiante alcanza un 90% de resultados satisfactorios, la plataforma lo tendra en consideracion, no como en otros entornos donde se requiere estrictamente del 100% de acierto para aprobarse, esto contribuye en la motivacion, el interes y el aprendizaje del estudiante.";"Totalmente de acuerdo"
"Fue util, para verificar nuestros fallos y seguir el codigo paso a paso";"De acuerdo"
"Nos permitio realizar talleres/quices conociendo nuestros resultados de forma inmediata, permitiendo retroalimentarnos eficazmente.";"Totalmente de acuerdo"
"Porque la plataforma le dice a uno lo que sale mal y asi es mas facil revisar donde pudo cometerse el error.";"De acuerdo"
"Porque permite desarrollar ejercicios de forma clara con un sistema accesible y entenible.";"De acuerdo"
"Debido a que es una buena herramienta para practicar y realizar ejercicios , ademas de poseer varias funciones utiles como son los casos de prueba o el tutor de python";"Totalmente de acuerdo"
"Podiamos llevar nuestros avances, testear nuestros codigos, mejor organizacion para las actividades";"Totalmente de acuerdo"
"UNCode fue realmente util ya que cuenta con una interfaz intuitiva que permite disenar mi codigo, hacerle prueba y verificacion de manera muy sencilla, asi como poder usar Python Tutor para hallar errores dentro de mi codigo con mayor facilidad.";"Totalmente de acuerdo"
"Porque permite probar el codigo, hacer el seguimiento de su ejecucion y aconseja sobre buenas practicas de programacion o errores que detecta antes de la ejecucion del mismo, esto ultimo ahorra tiempo y permite entender mejor el programa que los textos de error propios de Python.";"De acuerdo"
"El poder visualizar el funcionamiento del codigo sirve mucho";"Totalmente en desacuerdo"
"A veces no valoraba bien el porcentaje de el codigo correcto";"Algo de acuerdo"
"Es una plataforma que es muy util para calificar";"Totalmente de acuerdo"
"El poder ver paso por paso la ejecucion del programa y el que tenga casos de prueba predefinidos me parece una buena forma de aprender a programar";"Totalmente de acuerdo"
"Las herramientas son claras con los problemas que presenta el codigo a la hora de mandarlo";"Totalmente de acuerdo"
"Me permitia hacer un seguimiento de mis programa, como cambiaban las variables, donde se hacian los llamados a funciones ademas de visualizar mis propios casos de prueba";"Totalmente de acuerdo"
"Porque en muchas ocasiones tenia errores en los enunciados, para estos momentos no esta corriendo bien y no brinda las herramientas de visualizacion como antes.";"Algo de acuerdo"
"Como cualquier editor de texto muestra los errores sintacticos, pero aparte corrige de manera discreta para hacer un codigo mas eficiente con los simbolos de la izquierda. Tambien permite probar el codigo y colocar de antemano lo que queremos colocar, para no tener que estar repitiendo el tedioso proceso de poner las entradas.";"Totalmente de acuerdo"
"Es una herramienta versatil, simple y potente";"De acuerdo"
"Nos permite saber en que nos equivocamos y ademas de eso nos deja visualizar la prueba de escritorio para poder revisar si nos equivocamos en algun punto.";"De acuerdo"
"Porque presenta herramientas utiles que permiten el testeo de los programas y analizar como estos se comportan (python tutor)";"De acuerdo"
"Es una herramienta que se adapta a las necesidades de los estudiantes. Nos permite dar un seguimiento a nuestro codigo de una manera mas sencilla con python tutor y los consejos de estilo de programacion son bastante utiles.";"Totalmente de acuerdo"
"Porque se pueden ver claramente algunos outputs esperados, es facil usar multiples inputs y tiene conexion con python tutor (lo que permite entender mejor el codigo). Ademas, uncode ofrece una retroalimentacion inmediata.";"Totalmente de acuerdo"
"Por ser capaz de mostrar la coincidencia entre la salida y las respuestas esperadas, y permitir visualizar como cambian las variables a medida que se ejecuta el codigo";"Totalmente de acuerdo"
"dio la oportunidad de poner en practica los conocimientos adquiridos en las clases a pesar de la virtualidad. Tambien fue muy util para identificar problemas y plantear diferentes soluciones segun fuesen requeridas";"De acuerdo"
"uno de los aspectos que considero que mas me colaboro fue el seguimiento de la ejecucion del codigo que UNcode permite";"Totalmente de acuerdo"
"Es una gran herramienta que da un excelente feed back con las salidas y el python tutor.";"Totalmente de acuerdo"
"Porque podemos ver la ejecucion del codigo, los casos de prueba y es facil de usar";"Totalmente de acuerdo"
"Porque agilizaba la ejecucion de los programas en comparacion con otras plataformas como colab en la que toca ingresar entrada por entrada, lo cual demoraba un poco, por tanto utilizaba UNcode incluso para realizar codigos inicialmente no planteados en UNcode, a veces por encima de Google Colab.";"Totalmente de acuerdo"
"porque se podia visualizar los errores con las herramientas, se ponen casos para el nivel de conocimiento que uno lleva, y en algunas ocasiones puede ser divertido. Lo unico que si me molestaba eran los quices con tiempo";"Totalmente de acuerdo"
"Porque da la opcion de visualizar las posibles salidas de diferentes entradas para asi comparar con el resultado esperado";"De acuerdo"
"porque al darnos un feedback respecto a si tenemos respuestas incorrectas,  me ponia a pensar acerca de los errores que podia estar cometiendo, haciendo retroalimentaciones  seccion por seccion para descubrir el error";"Totalmente de acuerdo"
"Porque es una herramienta que me ayudo a conocer cuales eran los errores que cometia al la hora de hacer algun programa.";"De acuerdo"
"Es una herramienta de facil entendimiento, y el hecho que permita ver paso por paso como funciona un programa hace que sea mas sencillo corregir errores.";"Totalmente de acuerdo"
"Porque es una plataforma muy didactica y facil de usar.";"Totalmente de acuerdo"
